preferred_term	identifier	ontology_label	occurrences	cas_rn_current	stated_hydration	known_hydrates	hydration_valid	cas_verdict	cas_correct_or_UNKNOWN	grounding_verdict	recommended_target_curie	action	confidence	notes	source_rows_in_culturemech	mediadive_compound_id	sssom_predicate_published	defect_origin
Na3-citrate x 3 H2O	mediadive.compound:650	NA	0	UNKNOWN	trihydrate	dihydrate	UNCERTAIN	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	medium	The exact trihydrate of trisodium citrate could not be settled confidently from established phase evidence; retain UNKNOWN pending the source. This is MediaDive compound 650 and the fix or confirmation belongs upstream before MIM ingestion.	5	650	NOT_FOUND	MEDIADIVE_UPSTREAM
Na2S x H2O	mediadive.compound:1075	NA	0	UNKNOWN	monohydrate	dihydrate; pentahydrate; nonahydrate	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	No stable monohydrate of sodium sulfide is established; known hydrate forms are dihydrate; pentahydrate; nonahydrate. This is MediaDive compound 1075 and the fix or confirmation belongs upstream before MIM ingestion. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive exports; no downstream file was changed.	5	1075	NOT_FOUND	MEDIADIVE_UPSTREAM
AlK(SO4)2・12H2O	NOT_IN_MIM	NA	0	UNKNOWN	dodecahydrate	dodecahydrate	TRUE	NO_CAS_PROVIDED	7784-24-9	NOT_APPLICABLE(unmapped)	CHEBI:86465	OK	high	The stated dodecahydrate is an established form of potassium aluminium sulfate; known hydrates are dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	5	NA	NOT_FOUND	NONE
VOSO4·nH2O	NOT_IN_MIM	NA	0	UNKNOWN	hydrate (unspecified stoichiometry)	monohydrate; dihydrate; trihydrate; pentahydrate	UNSPECIFIED	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	low	The label does not establish a unique water stoichiometry for vanadyl sulfate; the original recipe or registry record is required. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	5	NA	NOT_FOUND	CULTUREMECH
0.2% FeSO4・6H2O solution	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	none exists	MINT	high	The stated hexahydrate is an established form of iron(II) sulfate; known hydrates are monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	5	NA	NOT_FOUND	MIM
NiCl2 x 6 H2O solution (0.1% w/v)	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate; low-temperature heptahydrate	TRUE	NO_CAS_PROVIDED	7791-20-0	NOT_APPLICABLE(unmapped)	CHEBI:53542	OK	high	The stated hexahydrate is an established form of nickel(II) chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate; low-temperature heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	5	NA	NOT_FOUND	NONE
MgSO4・H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	none exists	MINT	high	The stated monohydrate is an established form of magnesium sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	MIM
Na2S.9H2O	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
Citric acid·H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated monohydrate is an established form of citric acid; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
1% CaCl2・2H2O solution	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	10035-04-8	NOT_APPLICABLE(unmapped)	CHEBI:86158	OK	high	The stated dihydrate is an established form of calcium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
Sodium citrate dihydrate	mediadive.compound:1375	NA	0	UNKNOWN	dihydrate	dihydrate	TRUE	NO_CAS_PROVIDED	6132-04-3	NOT_APPLICABLE(unmapped)	CHEBI:32142	OK	high	The stated dihydrate is an established form of trisodium citrate; known hydrates are dihydrate. This is MediaDive compound 1375 and the fix or confirmation belongs upstream before MIM ingestion.	4	1375	NOT_FOUND	NONE
MnCl2 x 6 H2O	mediadive.compound:2003	NA	0	UNKNOWN	hexahydrate	monohydrate; dihydrate; tetrahydrate	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	No stable hexahydrate of manganese(II) chloride is established; known hydrate forms are monohydrate; dihydrate; tetrahydrate. This is MediaDive compound 2003 and the fix or confirmation belongs upstream before MIM ingestion. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive exports; no downstream file was changed.	4	2003	NOT_FOUND	MEDIADIVE_UPSTREAM
MnSO4 · 4 H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	10101-68-5	NOT_APPLICABLE(unmapped)	CHEBI:86358	OK	high	The stated tetrahydrate is an established form of manganese(II) sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
Na2MoO4 x H2O	mediadive.compound:641	NA	0	UNKNOWN	monohydrate	dihydrate; decahydrate	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	No stable monohydrate of sodium molybdate is established; known hydrate forms are dihydrate; decahydrate. This is MediaDive compound 641 and the fix or confirmation belongs upstream before MIM ingestion. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive exports; no downstream file was changed.	4	641	NOT_FOUND	MEDIADIVE_UPSTREAM
MnCl2 x 4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	monohydrate; dihydrate; tetrahydrate	TRUE	NO_CAS_PROVIDED	13446-34-9	NOT_APPLICABLE(unmapped)	CHEBI:86368	OK	high	The stated tetrahydrate is an established form of manganese(II) chloride; known hydrates are monohydrate; dihydrate; tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
ZnSO4 x 7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; tetrahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	7446-20-0	NOT_APPLICABLE(unmapped)	CHEBI:32312	OK	high	The stated heptahydrate is an established form of zinc sulfate; known hydrates are monohydrate; tetrahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
NiCl2 x H2O	mediadive.compound:1892	NA	0	UNKNOWN	monohydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate; low-temperature heptahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated monohydrate is an established form of nickel(II) chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate; low-temperature heptahydrate. This is MediaDive compound 1892 and the fix or confirmation belongs upstream before MIM ingestion.	4	1892	NOT_FOUND	NONE
Na2MoO3·2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The molybdate formula is malformed; Na2MoO4 dihydrate is likely intended. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	CULTUREMECH
Lactose monohydrate	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated monohydrate is an established form of lactose; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
Na2O4W x 2 H2O	mediadive.compound:891	NA	0	UNKNOWN	dihydrate	monohydrate; dihydrate	TRUE	NO_CAS_PROVIDED	10213-10-2	NOT_APPLICABLE(unmapped)	CHEBI:63939	OK	high	The stated dihydrate is an established form of sodium tungstate; known hydrates are monohydrate; dihydrate. This is MediaDive compound 891 and the fix or confirmation belongs upstream before MIM ingestion.	4	891	NOT_FOUND	NONE
Na2Se3 x 5 H2O	mediadive.compound:870	NA	0	UNKNOWN	pentahydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The selenite formula is malformed; Na2SeO3 pentahydrate is likely intended. This is MediaDive compound 870 and the fix or confirmation belongs upstream before MIM ingestion. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive exports; no downstream file was changed.	4	870	NOT_FOUND	MEDIADIVE_UPSTREAM
Cysteine-HCl·H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	7048-04-6	NOT_APPLICABLE(unmapped)	CHEBI:91248	OK	high	The stated monohydrate is an established form of L-cysteine hydrochloride; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
Na2SiO3 x 5 H2O	mediadive.compound:2160	NA	0	UNKNOWN	pentahydrate	pentahydrate; hexahydrate; octahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated pentahydrate is an established form of sodium metasilicate; known hydrates are pentahydrate; hexahydrate; octahydrate; nonahydrate. This is MediaDive compound 2160 and the fix or confirmation belongs upstream before MIM ingestion.	4	2160	NOT_FOUND	NONE
NaMoO4·2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The molybdate formula is malformed; Na2MoO4 dihydrate is likely intended. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	CULTUREMECH
Sodium glutamate・H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	6382-01-0	NOT_APPLICABLE(unmapped)	cas:6382-01-0	OK	high	The stated monohydrate is an established form of glutamate salt; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
Na2HPO4 . 12H2O	NOT_IN_MIM	NA	0	UNKNOWN	dodecahydrate	dihydrate; heptahydrate; dodecahydrate	TRUE	NO_CAS_PROVIDED	10039-32-4	NOT_APPLICABLE(unmapped)	kgmicrobe.compound:na2hpo4_x_12_h2o	OK	high	The stated dodecahydrate is an established form of disodium hydrogenphosphate; known hydrates are dihydrate; heptahydrate; dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
MnSO4.4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	10101-68-5	NOT_APPLICABLE(unmapped)	CHEBI:86358	OK	high	The stated tetrahydrate is an established form of manganese(II) sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
Na2-ß-glycerophosphate x 5 H2O	mediadive.compound:230	NA	0	UNKNOWN	pentahydrate	pentahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	none exists	MINT	high	The stated pentahydrate is an established form of disodium beta-glycerophosphate; known hydrates are pentahydrate. This is MediaDive compound 230 and the fix or confirmation belongs upstream before MIM ingestion.	4	230	NOT_FOUND	MIM
Na2SiO3・9H2O	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	pentahydrate; hexahydrate; octahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	13517-24-3	NOT_APPLICABLE(unmapped)	CHEBI:132108	OK	high	The stated nonahydrate is an established form of sodium metasilicate; known hydrates are pentahydrate; hexahydrate; octahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
ZnSO4 · 7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; tetrahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	7446-20-0	NOT_APPLICABLE(unmapped)	CHEBI:32312	OK	high	The stated heptahydrate is an established form of zinc sulfate; known hydrates are monohydrate; tetrahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
Na3-NTA x H2O	UNMAPPED_0475	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	none exists	MINT	medium	Bare x H2O conventionally reads as trisodium nitrilotriacetate monohydrate, but this record lacks CAS, formula, and ontology grounding and no exact ChEBI term is asserted. MIM source fields: mapping_status=UNMAPPED; mapping_quality=NA; molecular_formula=NA.	4	1482	NOT_FOUND	MIM
K2HPO4.3H2O	NOT_IN_MIM	NA	0	UNKNOWN	trihydrate	trihydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	16788-57-1	NOT_APPLICABLE(unmapped)	cas:16788-57-1	OK	high	The stated trihydrate is an established form of dipotassium hydrogenphosphate; known hydrates are trihydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
(NH4)6Mo7O24・4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	tetrahydrate	TRUE	NO_CAS_PROVIDED	12054-85-2	NOT_APPLICABLE(unmapped)	cas:12054-85-2	OK	high	The stated tetrahydrate is an established form of ammonium heptamolybdate; known hydrates are tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
NaMoO4.2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The molybdate formula is malformed; Na2MoO4 dihydrate is likely intended. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive exports; no downstream file was changed.	4	NA	NOT_FOUND	CULTUREMECH
Trisodium citrate·2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	dihydrate	TRUE	NO_CAS_PROVIDED	6132-04-3	NOT_APPLICABLE(unmapped)	CHEBI:32142	OK	high	The stated dihydrate is an established form of trisodium citrate; known hydrates are dihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
FeSO4 7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	7782-63-0	NOT_APPLICABLE(unmapped)	CHEBI:75836	OK	high	The stated heptahydrate is an established form of iron(II) sulfate; known hydrates are monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
5% Na2S·9H2O solution (pH 7.0)	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	NONE
VOSO4·xH2O	NOT_IN_MIM	NA	0	UNKNOWN	hydrate (unspecified stoichiometry)	monohydrate; dihydrate; trihydrate; pentahydrate	UNSPECIFIED	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	low	The label does not establish a unique water stoichiometry for vanadyl sulfate; the original recipe or registry record is required. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	4	NA	NOT_FOUND	CULTUREMECH
Co(NO3)2 · 6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate	TRUE	NO_CAS_PROVIDED	10026-22-9	NOT_APPLICABLE(unmapped)	CHEBI:86214	OK	high	The stated hexahydrate is an established form of cobalt(II) nitrate; known hydrates are hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	NONE
MnSO4 · H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	10034-96-5	NOT_APPLICABLE(unmapped)	CHEBI:86364	OK	high	The stated monohydrate is an established form of manganese(II) sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	NONE
Na2S・9H2O (final conc.)	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	NONE
Cobalt nitrate hexahydrate	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate	TRUE	NO_CAS_PROVIDED	10026-22-9	NOT_APPLICABLE(unmapped)	CHEBI:86214	OK	high	The stated hexahydrate is an established form of cobalt(II) nitrate; known hydrates are hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	NONE
(NH4)6MoO7O24·4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The ammonium heptamolybdate formula is malformed; (NH4)6Mo7O24 tetrahydrate is likely intended. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	CULTUREMECH
10% Na2S2O3・5H2O solution	NOT_IN_MIM	NA	0	UNKNOWN	pentahydrate	pentahydrate	TRUE	NO_CAS_PROVIDED	10102-17-7	NOT_APPLICABLE(unmapped)	CHEBI:32150	OK	high	The stated pentahydrate is an established form of sodium thiosulfate; known hydrates are pentahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	NONE
CuSO4 x H2O	mediadive.compound:509	NA	0	UNKNOWN	monohydrate	monohydrate; trihydrate; pentahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated monohydrate is an established form of copper(II) sulfate; known hydrates are monohydrate; trihydrate; pentahydrate; heptahydrate. This is MediaDive compound 509 and the fix or confirmation belongs upstream before MIM ingestion.	3	509	NOT_FOUND	NONE
NaWO4・2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The tungstate formula is missing oxygen or sodium; Na2WO4 dihydrate is likely intended. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	CULTUREMECH
FeCl2 . 4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	dihydrate; tetrahydrate	TRUE	NO_CAS_PROVIDED	13478-10-9	NOT_APPLICABLE(unmapped)	CHEBI:86249	OK	high	The stated tetrahydrate is an established form of iron(II) chloride; known hydrates are dihydrate; tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	NONE
MnSO4·7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	none exists	MINT	high	The stated heptahydrate is an established form of manganese(II) sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	MIM
Na3-citrate x 5 H2O	mediadive.compound:825	NA	0	UNKNOWN	pentahydrate	dihydrate	UNCERTAIN	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	medium	The exact pentahydrate of trisodium citrate could not be settled confidently from established phase evidence; retain UNKNOWN pending the source. This is MediaDive compound 825 and the fix or confirmation belongs upstream before MIM ingestion.	3	825	NOT_FOUND	MEDIADIVE_UPSTREAM
MgCl2 x 6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate	TRUE	NO_CAS_PROVIDED	7791-18-6	NOT_APPLICABLE(unmapped)	CHEBI:86345	OK	high	The stated hexahydrate is an established form of magnesium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	NONE
Na2S x 9H2O	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	NONE
CuCl2 x H2O	mediadive.compound:591	NA	0	UNKNOWN	monohydrate	monohydrate (reported); dihydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated monohydrate is an established form of copper(II) chloride; known hydrates are monohydrate (reported); dihydrate. This is MediaDive compound 591 and the fix or confirmation belongs upstream before MIM ingestion.	3	591	NOT_FOUND	NONE
Citric acid x H2O	CHEBI:31404	Citric acid monohydrate	2	5949-29-1	monohydrate	monohydrate	TRUE	MATCHES_HYDRATE	5949-29-1	CORRECT	CHEBI:31404	OK	high	CHEBI:31404, CAS 5949-29-1, and C6H8O7.H2O consistently identify citric acid monohydrate. MIM source fields: mapping_status=MAPPED; mapping_quality=EXACT_MATCH; molecular_formula=C6H8O7.H2O.	3	786	skos:exactMatch	NONE
Na2WO2・2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The tungstate formula is missing oxygen or sodium; Na2WO4 dihydrate is likely intended. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	CULTUREMECH
MgCl2 x 4 H2O	mediadive.compound:871	NA	0	UNKNOWN	tetrahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated tetrahydrate is an established form of magnesium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate. This is MediaDive compound 871 and the fix or confirmation belongs upstream before MIM ingestion.	3	871	NOT_FOUND	NONE
NaNH4HPO4 x 4 H2O	mediadive.compound:665	NA	0	UNKNOWN	tetrahydrate	tetrahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated tetrahydrate is an established form of sodium ammonium hydrogenphosphate; known hydrates are tetrahydrate. This is MediaDive compound 665 and the fix or confirmation belongs upstream before MIM ingestion.	3	665	NOT_FOUND	NONE
NiSO4・7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	CHEBI:53504	OK	high	The stated heptahydrate is an established form of nickel(II) sulfate; known hydrates are hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	NONE
AlK(SO4)2.12H2O	NOT_IN_MIM	NA	0	UNKNOWN	dodecahydrate	dodecahydrate	TRUE	NO_CAS_PROVIDED	7784-24-9	NOT_APPLICABLE(unmapped)	CHEBI:86465	OK	high	The stated dodecahydrate is an established form of potassium aluminium sulfate; known hydrates are dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	3	NA	NOT_FOUND	NONE
